Package Source,Line,Function,UFI
gurobi/0.3.1/src/model/mod.rs,692,"pub fn get_concurrent_env(&self, num: i32) -> Result<Env> {",
gurobi/0.3.1/src/model/mod.rs,702,pub fn discard_concurrent_envs(&self) { unsafe { ffi::GRBdiscardconcurrentenvs(self.model) } },
gurobi/0.3.2/src/env.rs,64,"pub fn new_model(&self, modelname: &str) -> Result<Model> { Model::new(modelname, self) }",
gurobi/0.3.2/src/env.rs,68,"pub fn read_model(&self, filename: &str) -> Result<Model> { Model::read_from(filename, self) }",
gurobi/0.3.2/src/model/mod.rs,557,"pub fn get_concurrent_env(&self, num: i32) -> Result<Env> {",
gurobi/0.3.2/src/model/mod.rs,569,pub fn discard_concurrent_envs(&self) { unsafe { ffi::GRBdiscardconcurrentenvs(self.model) } },
handlebars-iron/0.10.0/src/middleware.rs,61,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.10.0/src/middleware.rs,73,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.10.1/src/middleware.rs,61,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.10.1/src/middleware.rs,73,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.10.2/src/middleware.rs,61,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.10.2/src/middleware.rs,73,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.11.0/src/middleware.rs,77,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.11.0/src/middleware.rs,89,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.11.1/src/middleware.rs,77,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.11.1/src/middleware.rs,89,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.12.0/src/middleware.rs,77,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.12.0/src/middleware.rs,89,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.13.0/src/middleware.rs,100,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.13.0/src/middleware.rs,112,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.13.1/src/middleware.rs,100,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.13.1/src/middleware.rs,112,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
handlebars-iron/0.13.2/src/middleware.rs,100,"pub fn new(prefix: &str, suffix: &str) -> HandlebarsEngine {",
handlebars-iron/0.13.2/src/middleware.rs,112,"pub fn from(prefix: &str, suffix: &str, custom: Handlebars) -> HandlebarsEngine {",
histogram/0.4.0/src/lib.rs,412,"pub fn record(&mut self, value: u64, count: u64) -> Result<(), &'static str> {",
histogram/0.5.0/src/lib.rs,429,"pub fn record(&mut self, value: u64, count: u64) -> Result<(), &'static str> {",
histogram/0.5.1/src/lib.rs,429,"pub fn record(&mut self, value: u64, count: u64) -> Result<(), &'static str> {",
hsa/0.1.0/src/system.rs,65,pub fn extension_supported(,
hsa/0.1.0/src/isa.rs,27,"pub fn call_convention_count(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/isa.rs,32,"pub fn call_convention_info_wavefront_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/isa.rs,39,"pub fn call_convention_info_wavefronts_per_compute_unit(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/ext_finalize.rs,47,pub fn finalize<T: Into<Vec<u8>>>(,
hsa/0.1.0/src/executable.rs,30,pub fn load_code_object<T: Into<Vec<u8>>>(,
hsa/0.1.0/src/executable.rs,58,pub fn get_symbol<T: Into<Vec<u8>>>(,
hsa/0.1.0/src/executable.rs,102,"pub fn symbols(&self) -> Result<Vec<ExecutableSymbol>, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,164,"pub fn name(&self) -> Result<String, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,181,"pub fn module_name(&self) -> Result<String, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,230,"pub fn variable_allocation(&self) -> Result<VariableAllocation, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,237,"pub fn variable_segment(&self) -> Result<VariableSegment, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,242,"pub fn variable_alignment(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,249,"pub fn variable_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,254,"pub fn variable_is_const(&self) -> Result<bool, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,293,"pub fn kernel_call_convention(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/executable.rs,314,"pub fn indirect_function_call_convention(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,36,"pub fn machine_model(&self) -> Result<MachineModel, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,41,"pub fn profile(&self) -> Result<Profile, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,46,"pub fn default_float_rounding_mode(&self) -> Result<DefaultFloatRoundingMode, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,51,pub fn base_profile_default_float_rounding_mode(,
hsa/0.1.0/src/agent.rs,60,"pub fn fast_f16_operation(&self) -> Result<bool, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,65,"pub fn wavefront_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,70,"pub fn workgroup_max_dim(&self) -> Result<[u16; 3], ErrorStatus> {",
hsa/0.1.0/src/agent.rs,75,"pub fn workgroup_max_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,80,"pub fn grid_max_dim(&self) -> Result<Dim3, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,85,"pub fn grid_max_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,90,"pub fn fbarrier_max_size(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,95,"pub fn queues_max(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,112,"pub fn node(&self) -> Result<u32, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,121,"pub fn cache_size(&self) -> Result<[u32; 4], ErrorStatus> {",
hsa/0.1.0/src/agent.rs,126,"pub fn isa(&self) -> Result<ISA, ErrorStatus> {",
hsa/0.1.0/src/agent.rs,176,pub fn extension_supported(,
hsa/0.1.0/src/signal.rs,27,fn load_acquire(&self) -> SignalValue {,
hsa/0.1.0/src/signal.rs,40,"fn store_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,69,"fn exchange_acq_rel(&self, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,74,"fn exchange_acquire(&self, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,79,"fn exchange_release(&self, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,100,"fn cas_acq_rel(&self, expected: SignalValue, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,105,"fn cas_acquire(&self, expected: SignalValue, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,110,"fn cas_release(&self, expected: SignalValue, value: SignalValue) -> SignalValue {",
hsa/0.1.0/src/signal.rs,131,"fn add_acq_rel(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,136,"fn add_acquire(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,141,"fn add_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,162,"fn subtract_acq_rel(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,167,"fn subtract_acquire(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,172,"fn subtract_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,193,"fn and_acq_rel(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,198,"fn and_acquire(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,203,"fn and_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,224,"fn or_acq_rel(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,229,"fn or_acquire(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,234,"fn or_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,255,"fn xor_acq_rel(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,260,"fn xor_acquire(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,265,"fn xor_release(&self, value: SignalValue) {",
hsa/0.1.0/src/signal.rs,306,fn wait_acquire(,
hsa/0.1.0/src/queue.rs,69,pub fn load_read_index_acquire(&self) -> u64 {,
hsa/0.1.0/src/queue.rs,79,pub fn load_write_index_acquire(&self) -> u64 {,
hsa/0.1.0/src/queue.rs,89,"pub fn store_write_index_release(&self, value: u64) {",
hsa/0.1.0/src/queue.rs,106,"pub fn cas_write_index_acq_rel(&self, expected: u64, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,110,"pub fn cas_write_index_acquire(&self, expected: u64, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,114,"pub fn cas_write_index_release(&self, expected: u64, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,131,"pub fn add_write_index_acq_rel(&self, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,135,"pub fn add_write_index_acquire(&self, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,139,"pub fn add_write_index_release(&self, value: u64) -> u64 {",
hsa/0.1.0/src/queue.rs,150,"pub fn store_read_index_release(&self, value: u64) {",
hsa/0.1.0/src/native.rs,47,pub fn hsa_agent_extension_supported(,
hsa/0.1.0/src/native.rs,70,pub fn hsa_signal_load_scacquire(signal: SignalHandle) -> SignalValue;,
hsa/0.1.0/src/native.rs,71,pub fn hsa_signal_load_relaxed(signal: SignalHandle) -> SignalValue;,
hsa/0.1.0/src/native.rs,73,pub fn hsa_signal_load_acquire(signal: SignalHandle) -> SignalValue;,
hsa/0.1.0/src/native.rs,74,"pub fn hsa_signal_store_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,75,"pub fn hsa_signal_store_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,77,"pub fn hsa_signal_store_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,78,"pub fn hsa_signal_silent_store_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,83,"pub fn hsa_signal_exchange_relaxed(signal: SignalHandle, value: SignalValue) -> SignalValue;",
hsa/0.1.0/src/native.rs,84,"pub fn hsa_signal_exchange_screlease(signal: SignalHandle, value: SignalValue) -> SignalValue;",
hsa/0.1.0/src/native.rs,86,"pub fn hsa_signal_exchange_acq_rel(signal: SignalHandle, value: SignalValue) -> SignalValue;",
hsa/0.1.0/src/native.rs,88,"pub fn hsa_signal_exchange_acquire(signal: SignalHandle, value: SignalValue) -> SignalValue;",
hsa/0.1.0/src/native.rs,90,"pub fn hsa_signal_exchange_release(signal: SignalHandle, value: SignalValue) -> SignalValue;",
hsa/0.1.0/src/native.rs,91,pub fn hsa_signal_cas_scacq_screl(,
hsa/0.1.0/src/native.rs,112,pub fn hsa_signal_cas_acq_rel(,
hsa/0.1.0/src/native.rs,118,pub fn hsa_signal_cas_acquire(,
hsa/0.1.0/src/native.rs,124,pub fn hsa_signal_cas_release(,
hsa/0.1.0/src/native.rs,131,"pub fn hsa_signal_add_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,132,"pub fn hsa_signal_add_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,134,"pub fn hsa_signal_add_acq_rel(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,136,"pub fn hsa_signal_add_acquire(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,138,"pub fn hsa_signal_add_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,139,"pub fn hsa_signal_subtract_scacq_screl(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,141,"pub fn hsa_signal_subtract_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,142,"pub fn hsa_signal_subtract_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,144,"pub fn hsa_signal_subtract_acq_rel(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,146,"pub fn hsa_signal_subtract_acquire(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,148,"pub fn hsa_signal_subtract_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,149,"pub fn hsa_signal_and_scacq_screl(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,151,"pub fn hsa_signal_and_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,152,"pub fn hsa_signal_and_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,154,"pub fn hsa_signal_and_acq_rel(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,156,"pub fn hsa_signal_and_acquire(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,158,"pub fn hsa_signal_and_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,159,"pub fn hsa_signal_or_scacq_screl(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,161,"pub fn hsa_signal_or_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,162,"pub fn hsa_signal_or_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,164,"pub fn hsa_signal_or_acq_rel(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,166,"pub fn hsa_signal_or_acquire(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,168,"pub fn hsa_signal_or_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,169,"pub fn hsa_signal_xor_scacq_screl(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,171,"pub fn hsa_signal_xor_relaxed(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,172,"pub fn hsa_signal_xor_screlease(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,174,"pub fn hsa_signal_xor_acq_rel(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,176,"pub fn hsa_signal_xor_acquire(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,178,"pub fn hsa_signal_xor_release(signal: SignalHandle, value: SignalValue);",
hsa/0.1.0/src/native.rs,179,pub fn hsa_signal_wait_scacquire(,
hsa/0.1.0/src/native.rs,194,pub fn hsa_signal_wait_acquire(,
hsa/0.1.0/src/native.rs,247,pub fn hsa_queue_load_read_index_scacquire(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,248,pub fn hsa_queue_load_read_index_relaxed(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,250,pub fn hsa_queue_load_read_index_acquire(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,251,pub fn hsa_queue_load_write_index_scacquire(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,252,pub fn hsa_queue_load_write_index_relaxed(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,254,pub fn hsa_queue_load_write_index_acquire(queue: *const QueueHandle) -> u64;,
hsa/0.1.0/src/native.rs,255,"pub fn hsa_queue_store_write_index_relaxed(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,256,"pub fn hsa_queue_store_write_index_screlease(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,258,"pub fn hsa_queue_store_write_index_release(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,259,pub fn hsa_queue_cas_write_index_scacq_screl(,
hsa/0.1.0/src/native.rs,280,pub fn hsa_queue_cas_write_index_acq_rel(,
hsa/0.1.0/src/native.rs,286,pub fn hsa_queue_cas_write_index_acquire(,
hsa/0.1.0/src/native.rs,292,pub fn hsa_queue_cas_write_index_release(,
hsa/0.1.0/src/native.rs,299,"pub fn hsa_queue_add_write_index_relaxed(queue: *const QueueHandle, value: u64) -> u64;",
hsa/0.1.0/src/native.rs,300,"pub fn hsa_queue_add_write_index_screlease(queue: *const QueueHandle, value: u64) -> u64;",
hsa/0.1.0/src/native.rs,302,"pub fn hsa_queue_add_write_index_acq_rel(queue: *const QueueHandle, value: u64) -> u64;",
hsa/0.1.0/src/native.rs,304,"pub fn hsa_queue_add_write_index_acquire(queue: *const QueueHandle, value: u64) -> u64;",
hsa/0.1.0/src/native.rs,306,"pub fn hsa_queue_add_write_index_release(queue: *const QueueHandle, value: u64) -> u64;",
hsa/0.1.0/src/native.rs,307,"pub fn hsa_queue_store_read_index_relaxed(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,308,"pub fn hsa_queue_store_read_index_screlease(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,310,"pub fn hsa_queue_store_read_index_release(queue: *const QueueHandle, value: u64);",
hsa/0.1.0/src/native.rs,342,pub fn hsa_isa_get_info(,
hsa/0.1.0/src/native.rs,367,"pub fn hsa_isa_compatible(code_object_isa: ISA, agent_isa: ISA, result: &bool) -> HSAStatus;*/",
hsa/0.1.0/src/native.rs,368,/*pub fn hsa_code_object_reader_create_from_file(,
hsa/0.1.0/src/native.rs,377,pub fn hsa_code_object_reader_destroy(code_object_reader: CodeObjectReader) -> HSAStatus;,
hsa/0.1.0/src/native.rs,379,pub fn hsa_executable_create(,
hsa/0.1.0/src/native.rs,435,pub fn hsa_executable_get_symbol(,
hsa/0.1.0/src/native.rs,444,pub fn hsa_executable_get_symbol_by_name(,
hsa/0.1.0/src/native.rs,473,pub fn hsa_executable_iterate_symbols(,
hsa/0.1.0/src/native.rs,479,pub fn hsa_code_object_serialize(,
hsa/0.1.0/src/native.rs,489,pub fn hsa_code_object_deserialize(,
hsa/0.1.0/src/native.rs,496,pub fn hsa_code_object_destroy(code_object: CodeObject) -> HSAStatus;,
hsa/0.1.0/src/native.rs,498,pub fn hsa_code_object_get_info(,
hsa/0.1.0/src/native.rs,504,pub fn hsa_executable_load_code_object(,
hsa/0.1.0/src/native.rs,511,/*pub fn hsa_code_object_get_symbol(,
hsa/0.1.0/src/native.rs,517,pub fn hsa_code_object_get_symbol_from_name(,
hsa/0.1.0/src/native.rs,524,pub fn hsa_code_symbol_get_info(,
hsa/0.1.0/src/native.rs,530,pub fn hsa_code_object_iterate_symbols(,
hsa/0.1.0/src/native.rs,541,"pub fn hsa_ext_isa_from_name(name: *const c_char, isa: &mut ISA) -> HSAStatus;",
hsa/0.1.0/src/native.rs,543,pub fn hsa_ext_isa_get_info(,
hsa/0.1.0/src/native.rs,592,pub fn hsa_ext_program_finalize(,
hyper/0.11.16/src/client/mod.rs,83,pub fn handle(&self) -> &Handle {,
hyper/0.11.15/src/client/mod.rs,83,pub fn handle(&self) -> &Handle {,
hyper/0.11.17/src/client/mod.rs,86,pub fn handle(&self) -> &Handle {,
